Status,Address,StreetNumber,StreetName,City,PostalCode,Lat,Long,ListPrice,ClosePrice,ListDate,CloseDate,SqFtTotal,PriceSqFtList,PriceSqFtSold,LotSize,YearBuilt,BedsTotal,BathsTotal,Stories,NewConstruction,Style,DOM,CDOM,SoldTerms,HOAMandatory,TaxAmount
Sold,4219 Koehler Street,4219,Koehler,Houston,77007,29.7740866,-95.4037518,7149,7149,2010-07-14,2010-09-07,2218,3.22,3.22,1989,2007,3,3,3,FALSE,Traditional,14,14,Cash Sale,FALSE,6960
Sold,5309 Nett,5309,Nett,Houston,77007,29.7716699,-95.4161034,24900,19000,1996-07-20,1997-08-19,810,4.98,23.46,5000,1930,2,1,1,FALSE,Traditional,387,387,Cash Sale,UNKNOWN,327
Sold,4103 Marina,4103,Marina,Houston,77007,29.77573,-95.4021564,25000,25000,1997-02-26,1998-07-06,1360,18.38,18.38,12285,1930,3,1,1,FALSE,Traditional,80,80,Cash Sale,UNKNOWN,852
Sold,4219 Koehler,4219,Koehler,Houston,77007,29.7740866,-95.4037518,35000,25000,1998-11-04,1999-10-26,760,46.05,32.89,5184,1923,2,1,1,FALSE,Other Style,58,58,Cash Sale,UNKNOWN,685
Sold,4115 Allen Street,4115,Allen,Houston,77007,29.7717767,-95.4028927,27000,27000,2010-09-02,2010-10-22,783,34.48,34.48,3500,1920,2,1,1,FALSE,Traditional,14,14,Cash Sale,FALSE,2515
Sold,1509 Bonner Street,1509,Bonner,Houston,77007,29.7745342,-95.402453,30000,30000,2003-07-31,2003-10-07,600,50,50,2161,1940,2,1,1,FALSE,Other Style,40,40,Cash Sale,UNKNOWN,743
Sold,4313 Feagan,4313,Feagan,Houston,77007,29.7659114,-95.4041831,38000,32700,1996-09-18,1997-03-25,856,44.39,38.2,0,1930,2,1,1,FALSE,Traditional,112,112,Conventional,UNKNOWN,978
Sold,4324 Allen Street,4324,Allen,Houston,77007,29.7724984,-95.4051018,25000,35000,2011-07-26,2011-08-31,850,29.41,41.18,2970,1920,2,1,1,FALSE,Traditional,10,10,Cash Sale,FALSE,1113
Sold,4916 Eigel,4916,Eigel,Houston,77007,29.775029,-95.411182,38000,35000,1997-09-01,1998-04-21,744,51.08,47.04,5000,1930,2,1,1,FALSE,Traditional,174,174,Cash Sale,UNKNOWN,888
Sold,1602 Knox,1602,Knox,Houston,77007,29.7748279,-95.4209357,45000,38500,2000-01-17,2001-09-06,448,16.07,85.94,2800,1935,2,1,1,FALSE,Traditional,574,574,Cash Sale,UNKNOWN,646
Sold,4711 Eli,4711,Eli,Houston,77007,29.7732534,-95.4087019,40000,39000,2001-01-31,2001-05-31,828,10.81,47.1,3700,1940,2,1,1,FALSE,Traditional,97,97,Cash Sale,UNKNOWN,10
Sold,4230 Gibson,4230,Gibson,Houston,77007,29.767082,-95.403232,59900,40000,1996-09-06,1997-05-12,1109,54.01,36.07,0,1950,2,1,1,FALSE,Traditional,248,248,Cash Sale,UNKNOWN,1158
Sold,4917 Eigel,4917,Eigel,Houston,77007,29.7746747,-95.411443,42000,40000,1997-09-08,1998-01-15,1172,35.84,34.13,5000,1930,3,1,1,FALSE,Victorian,88,88,Cash Sale,UNKNOWN,758
Sold,506 Lester,506,Lester,Houston,77007,29.7670401,-95.4150844,45000,41000,1997-07-30,1998-02-12,416,10.48,98.56,4294,1948,1,1,1,FALSE,Traditional,97,97,Cash Sale,UNKNOWN,665
Sold,1302 Thompson,1302,Thompson,Houston,77007,29.7731237,-95.4040186,41500,41500,1999-04-17,1999-06-25,992,41.83,41.83,5000,1920,2,1,1,FALSE,Traditional,16,16,Conventional,UNKNOWN,776
