Status,Address,StreetNumber,StreetName,City,PostalCode,Lat,Long,ListPrice,ClosePrice,ListingContractDate,CloseDate,SqFtTotal,PriceSqFtList,PriceSqFtSold,LotSize,YearBuilt,BedsTotal,BathsTotal,Stories,NewConstruction,Style,DOM,CDOM,SoldTermsNew,HOAMandatory,TaxAmount
Sold,2814 Pear,2814,Pear,Houston,77026,29.7946613,-95.3419808,10000,5700,1996-10-29,1997-03-17,0,0,0,0,0,1,1,1,FALSE,Traditional,137,137,Cash Sale,UNKNOWN,0
Sold,2011 Brackenridge,2011,Brackenridge,Houston,77026,29.7802769,-95.3411555,9900,7000,1997-06-04,1998-03-13,836,11.84,8.37,4250,1920,2,1,1,FALSE,Traditional,282,282,Cash Sale,UNKNOWN,193
Sold,2516 Mills Street,2516,Mills,Houston,77026,29.7774467,-95.3441351,9000,7500,2012-06-17,2012-11-11,657,7.06,11.42,1275,1929,1,1.1,1,FALSE,Other Style,143,233,Cash Sale,FALSE,484
Sold,4103 Hardy,4103,Hardy,Houston,77009,29.7975951,-95.3525474,18000,9000,1997-07-05,1997-10-17,1050,17.14,8.57,5000,1948,3,1,1,FALSE,Traditional,49,49,Other,UNKNOWN,386
Sold,2018 Brackenridge,2018,Brackenridge,Houston,77026,29.7808529,-95.3408491,13000,9000,1997-05-07,1997-08-21,824,15.78,10.92,5248,1935,2,1,1,FALSE,Traditional,106,106,Conventional,UNKNOWN,218
Sold,2411 Brooks,2411,Brooks,Houston,77026,29.7758148,-95.3454818,20000,10000,1998-10-05,2000-04-14,1168,17.12,8.56,4000,1926,3,1,1,FALSE,Traditional,549,549,Cash Sale,UNKNOWN,489
Sold,2613 Lorraine Street,2613,Lorraine,Houston,77026,29.7787916,-95.3433213,16900,12300,2007-09-14,2007-12-26,1164,14.52,10.57,6800,1929,3,1,1,FALSE,Traditional,57,57,Cash Sale,UNKNOWN,1342
Sold,2419 Sumpter Street,2419,Sumpter,Houston,77026,29.7797112,-95.3451194,16000,12500,2003-06-12,2003-06-30,672,23.81,18.6,4000,1935,2,1,1,FALSE,Traditional,15,15,Cash Sale,UNKNOWN,639
Sold,4606 Terry Street,4606,Terry,Houston,77009,29.8019891,-95.3531605,25000,13000,2009-12-20,2010-04-24,980,25.51,13.27,5000,1930,3,1,1,FALSE,Traditional,57,57,Cash Sale,FALSE,1724
Sold,2715 Davis,2715,Davis,Houston,77026,29.7862455,-95.3429944,27000,13500,1997-12-02,1998-02-12,1332,20.27,10.14,5500,1936,3,1,1,FALSE,Traditional,10,10,Conventional,UNKNOWN,372
